initial NOx and VOCR concentration:   0.29000E-02,  0.81886E-01
 O3,ivoc,inox,N(V),S(VI)
  0.40758E+02,  0.25000E-01,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.42560E+02,  0.50000E-01,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.45471E+02,  0.75000E-01,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44246E+02,  0.10000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44260E+02,  0.12500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44213E+02,  0.15000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44264E+02,  0.17500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44269E+02,  0.20000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44457E+02,  0.22500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44309E+02,  0.25000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44318E+02,  0.27500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44087E+02,  0.30000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44036E+02,  0.32500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44074E+02,  0.35000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44005E+02,  0.37500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.44064E+02,  0.40000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.43810E+02,  0.42500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.43799E+02,  0.45000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.43896E+02,  0.47500E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.43874E+02,  0.50000E+00,  0.15000E-02,  0.10243E+02,  0.60607E+03
  0.38508E+02,  0.25000E-01,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.45576E+02,  0.50000E-01,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.49125E+02,  0.75000E-01,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.53094E+02,  0.10000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.52289E+02,  0.12500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.53221E+02,  0.15000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.53820E+02,  0.17500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55087E+02,  0.20000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55126E+02,  0.22500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55380E+02,  0.25000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55562E+02,  0.27500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55231E+02,  0.30000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55638E+02,  0.32500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55955E+02,  0.35000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55954E+02,  0.37500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.56001E+02,  0.40000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.55565E+02,  0.42500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.56065E+02,  0.45000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.56264E+02,  0.47500E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.56041E+02,  0.50000E+00,  0.30000E-02,  0.10243E+02,  0.60607E+03
  0.35389E+02,  0.25000E-01,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.42093E+02,  0.50000E-01,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.49761E+02,  0.75000E-01,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.54350E+02,  0.10000E+00,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.58482E+02,  0.12500E+00,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.61827E+02,  0.15000E+00,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.62684E+02,  0.17500E+00,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.63800E+02,  0.20000E+00,  0.45000E-02,  0.10243E+02,  0.60607E+03
  0.63353E+02,  0.22500E+00,  0.45000E-02,  0.10243E+02,  0.60607E+03
