initial NOx and VOCR concentration:   0.26000E-02,  0.11180E+00
 O3,ivoc,inox,N(V),S(VI)
  0.46694E+02,  0.25000E-01,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.50826E+02,  0.50000E-01,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.53614E+02,  0.75000E-01,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.54490E+02,  0.10000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.55595E+02,  0.12500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.57159E+02,  0.15000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.57762E+02,  0.17500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.57593E+02,  0.20000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.57325E+02,  0.22500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.58405E+02,  0.25000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.58616E+02,  0.27500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.58769E+02,  0.30000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.58956E+02,  0.32500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59134E+02,  0.35000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59118E+02,  0.37500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59499E+02,  0.40000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59306E+02,  0.42500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59344E+02,  0.45000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59427E+02,  0.47500E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.59721E+02,  0.50000E+00,  0.15000E-02,  0.14512E+01,  0.10243E+04
  0.44351E+02,  0.25000E-01,  0.30000E-02,  0.14512E+01,  0.10243E+04
  0.53100E+02,  0.50000E-01,  0.30000E-02,  0.14512E+01,  0.10243E+04
  0.59228E+02,  0.75000E-01,  0.30000E-02,  0.14512E+01,  0.10243E+04
  0.63772E+02,  0.10000E+00,  0.30000E-02,  0.14512E+01,  0.10243E+04
