initial NOx and VOCR concentration:   0.80270E-03,  0.75504E-01
 O3,ivoc,inox,N(V),S(VI)
  0.44849E+02,  0.25000E-01,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.48501E+02,  0.50000E-01,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49640E+02,  0.75000E-01,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.50826E+02,  0.10000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.50865E+02,  0.12500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.50812E+02,  0.15000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.51304E+02,  0.17500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.51139E+02,  0.20000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.50940E+02,  0.22500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.51171E+02,  0.25000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.51122E+02,  0.27500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.51254E+02,  0.30000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.50925E+02,  0.32500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49735E+02,  0.35000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49631E+02,  0.37500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49555E+02,  0.40000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49469E+02,  0.42500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49379E+02,  0.45000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49275E+02,  0.47500E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.49321E+02,  0.50000E+00,  0.15000E-02,  0.29877E+02,  0.13658E+04
  0.44022E+02,  0.25000E-01,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.51120E+02,  0.50000E-01,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.55932E+02,  0.75000E-01,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.59245E+02,  0.10000E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.61428E+02,  0.12500E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.63229E+02,  0.15000E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.62351E+02,  0.17500E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.61404E+02,  0.20000E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.61985E+02,  0.22500E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.62134E+02,  0.25000E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.63997E+02,  0.27500E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.62519E+02,  0.30000E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.62674E+02,  0.32500E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
  0.62673E+02,  0.35000E+00,  0.30000E-02,  0.29877E+02,  0.13658E+04
