initial NOx and VOCR concentration:   0.56300E-02,  0.17586E+00
 O3,ivoc,inox,N(V),S(VI)
  0.87550E+02,  0.25000E-01,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.90167E+02,  0.50000E-01,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.91733E+02,  0.75000E-01,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92368E+02,  0.10000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92596E+02,  0.12500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.94685E+02,  0.15000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.95509E+02,  0.17500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.95102E+02,  0.20000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.94746E+02,  0.22500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.94440E+02,  0.25000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.94203E+02,  0.27500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92358E+02,  0.30000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92295E+02,  0.32500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92161E+02,  0.35000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92075E+02,  0.37500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.91970E+02,  0.40000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.91873E+02,  0.42500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.91781E+02,  0.45000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.92882E+02,  0.47500E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.91575E+02,  0.50000E+00,  0.15000E-02,  0.74265E+02,  0.73411E+03
  0.89530E+02,  0.25000E-01,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.95055E+02,  0.50000E-01,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.99335E+02,  0.75000E-01,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10178E+03,  0.10000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10083E+03,  0.12500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10168E+03,  0.15000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10238E+03,  0.17500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10289E+03,  0.20000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10320E+03,  0.22500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10413E+03,  0.25000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10362E+03,  0.27500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10378E+03,  0.30000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10371E+03,  0.32500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10363E+03,  0.35000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10358E+03,  0.37500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10425E+03,  0.40000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10322E+03,  0.42500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10323E+03,  0.45000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10284E+03,  0.47500E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.10410E+03,  0.50000E+00,  0.30000E-02,  0.74265E+02,  0.73411E+03
  0.87246E+02,  0.25000E-01,  0.45000E-02,  0.74265E+02,  0.73411E+03
  0.94500E+02,  0.50000E-01,  0.45000E-02,  0.74265E+02,  0.73411E+03
  0.10067E+03,  0.75000E-01,  0.45000E-02,  0.74265E+02,  0.73411E+03
