Date,bag1_int,bag1_sl,bag2_int,bag2_sl,bag3_int,bag3_sl,bag1_3hr,bag2_3hr,bag3_3hr,weekday,week_num,b1_b2_3hr,b3_b2_3hr,bag1_t0,bag2_t0,bag3_t0,month,PM2.5,NOx,NO2,O3_amb,O3_amb_PM,temp
4/14/2020,30.88621287,0.101108607,29.70455573,0.13296366,28.99177407,0.187437778,49.08576213,53.63801453,62.73057411,0,1,-4.5522524,9.09255958,0,0,0,4,10,0.002933333,0.0027,41.85,49.4,26.95
4/15/2020,35.64685926,0.133484136,34.59800882,0.174641314,34.49519259,0.214920476,59.67400374,66.03344534,73.18087827,0,1,-6.3594416,7.14743293,0,0,0,4,10,0.004266667,0.003833333,41.1,49.3,26.88888889
4/16/2020,35.01621391,0.17062627,34.24685501,0.22331844,34.1721419,0.272466651,65.72894258,74.44417428,83.21613902,0,1,-8.715231703,8.771964738,33.85496085,31.42932886,32.2132047,4,12,0.00675,0.00485,42.2,58.3,27.01111111
4/17/2020,28.1372691,0.097832795,27.81637445,0.139471855,26.79317833,0.183002397,45.74717226,52.9213083,59.73360978,0,1,-7.174136039,6.812301481,24.58235459,25.78444072,26.25926174,4,8,0.0034,0.0029,30.4,35.7,19.35
4/18/2020,39.37228667,0.092420779,38.46974965,0.113127677,38.62361425,0.147018472,56.00802685,58.83273144,65.08693928,1,1,-2.824704591,6.254207841,37.27449664,38.03629754,38.00823826,4,8,0.002066667,0.002033333,40.75,40.8,19.27222222
4/19/2020,34.4963002,0.102216581,37.14948216,0.104185853,36.53203547,0.135665964,52.89528486,55.90293566,60.95190892,1,1,-3.007650794,5.048973261,35.9453915,36.71463087,37.02176174,4,7,0.0016,0.001566667,38.7,42.2,19.98333333
4/20/2020,34.79029136,0.093064248,34.34811516,0.11592895,34.0225024,0.153855944,51.54185608,55.21532609,61.71657239,0,2,-3.673470012,6.501246298,32.33637025,32.46100671,32.91075503,4,6,0.002866667,0.002566667,33.5,38.1,19.72777778
4/21/2020,27.1659135,0.108387845,27.24583062,0.145445968,25.78055066,0.205871397,46.67572558,53.42610483,62.83740205,0,2,-6.750379248,9.41129722,21.43012864,21.39571588,21.5745302,4,7,0.0072,0.0054,30.2,43.6,25.98888889
4/22/2020,33.53176947,0.128631863,32.79352999,0.182127133,32.65321253,0.22885783,56.68550485,65.57641398,73.84762192,0,2,-8.89090913,8.271207947,29.72485459,30.68149888,16.94620805,4,8,0.0047,0.004,34.8,43.7,27.97222222
4/23/2020,36.24228508,0.173013492,36.69038585,0.173901545,37.65704027,0.207139597,67.38471365,67.9926639,74.94216779,0,2,-0.60795025,6.949503888,33.67494966,34.26848993,34.24807047,4,7,0.002633333,0.0025,41.95,49,29.77222222
