Date,Start program time,Start fill bags,seconds to bag sampling,Gag sampling,UV lights on,Site,Test,Note
7/16/2021,,11:02:35,,11:51:04,12:21:04,Caltech,test,
7/17/2021,,10:56:18,,11:44:47,12:14:47,Caltech,test,
7/18/2021,,12:55:32,,13:44:01,14:14:01,Caltech,test,
7/19/2021,,10:53:03,,11:41:32,12:11:32,Caltech,test,
7/20/2021,,10:40:29,,11:28:58,11:58:58,Caltech,no test,
7/21/2021,NaN,NaN,NaN,NaN,NaN,Caltech,no test,fix temp problem
7/22/2021,NaN,NaN,NaN,NaN,NaN,Caltech,no test,fix temp problem
7/23/2021,,10:32:39,,11:21:08,11:51:08,Caltech,test,
7/24/2021,,10:31:35,,11:20:04,11:50:04,Caltech,test,
7/25/2021,,10:22:09,,11:10:38,11:40:38,Caltech,test,
7/26/2021,NaN,NaN,NaN,NaN,NaN,Caltech,no test,GFI tripped
7/27/2021,NaN,NaN,NaN,NaN,NaN,Caltech,no test,GFI tripped
7/28/2021,10:18:58,10:51:59,4890,11:40:28,12:10:28,Caltech,test,
7/29/2021,,1:46:40,,2:35:09,3:05:09,Caltech,dark test,Dark test
7/29/2021,NaN,NaN,NaN,NaN,NaN,Caltech,no test,GFI tripped
7/30/2021,8:35:33,9:51:33,7469,10:40:02,11:10:02,Caltech,test,
7/31/2021,8:28:32,10:32:32,10349,11:21:01,11:51:01,Caltech,test,
8/1/2021,8:30:40,10:32:44,,11:21:13,11:51:13,Caltech,test,
8/2/2021,9:58:34,10:31:34,4889,11:20:03,11:50:03,Caltech,test,
8/3/2021,9:51:31,10:31:31,5309,11:20:00,11:50:00,Caltech,test,cars idle nearby
8/4/2021,9:37:31,10:31:31,6149,11:20:00,11:50:00,Caltech,test,
8/5/2021,10:34:31,10:41:31,3329,11:30:00,12:00:00,,test,
8/6/2021,9:03:31,10:41:31,8789,11:30:00,12:00:00,,test,
8/7/2021,9:31:31,10:41:31,7109,11:30:00,12:00:00,,test,
8/8/2021,10:33:40,10:41:40,3389,11:30:09,12:00:09,,test,
8/9/2021,,###############################################################################################################################################################################################################################################################,,0:00:00,0:30:00,,test,
8/10/2021,,###############################################################################################################################################################################################################################################################,,0:00:00,0:30:00,,test,
8/11/2021,10:08:31,10:51:31,5489,11:40:00,12:10:00,,test,
8/12/2021,10:42:31,11:11:31,4649,12:00:00,12:30:00,,test,
8/13/2021,10:24:31,10:41:31,3929,11:30:00,12:00:00,,test,
8/14/2021,10:16:48,10:41:48,4409,11:30:17,12:00:17,,test,
8/15/2021,10:14:40,10:41:40,4529,11:30:09,12:00:09,,test,
8/16/2021,10:56:31,11:21:31,4409,12:10:00,12:40:00,,no test,gfci tripped in the middle
8/17/2021,10:24:38,10:41:38,3929,11:30:07,12:00:07,,test,
8/18/2021,10:17:29,10:41:29,4349,11:29:58,11:59:58,,no test,gfci tripped in the middle
